shakespeare,modern
As good a gentleman as the emperor .,I'm as good a gentleman as the emperor .
Then you are a better than the king .,Then you're a better man than the king .
"The king's a bawcock , and a heart of gold , A lad of life , an imp of fame , Of parents good , of fist most valiant .","The king's a dear boy with a heart of gold , he's a lively lad , a wag , born of fine parents , good with his fists ."
"I kiss his dirty shoe , and from heartstring I love the lovely bully .","I kiss his dirty shoe , and from the bottom of my heart I love the lovely boy ."
What is thy name ?,What is your name ?
Harry le Roy .,Harry le Roy .
Le Roy ?,Le Roy ?
A Cornish name .,That's a Cornish name .
Art thou of Cornish crew ?,Are you with a Cornish company ?
"No , I am a Welshman .","No , I am a Welshman ."
Know'st thou Fluellen ?,Do you know Fluellen ?
Yes .,Yes .
Tell him I'll knock his leek about his pate Upon Saint Davy's day .,Tell him I'll take the leek out of his hat on Saint Davy's Day and slap his head with it .
"Do not you wear your dagger in your cap that day , lest he knock that about yours .","You'd better not wear your dagger in your cap that day , or he might slap your head with it ."
Art thou his friend ?,Are you his friend ?
And his kinsman too .,"Yes , and his relative , too ."
The I thank you .,Thank you .
God be with you .,God be with you .
My name is Pistol called .,My name is Pistol .
It sorts well with your fierceness .,The name suits your fierceness .
Captain Fluellen .,Captain Fluellen !
It is the greatest admiration in the universal world when the true and aunchient prerogatifes and laws of the wars is not kept .,"It never ceases to amaze me the way people ignore the correct , traditional principles and rules of war ."
"If you would take the pains but to examine the wars of Pompey the Great , you shall find , I warrant you , that there is no tiddle toddle nor pibble babble in Pompey's camp .","If you would take the trouble to study the tactics of Pompey the Great , I can tell you that you would find no tittle-tattle or pibble-pabble in Pompey's camp ."
"I warrant you , you shall find the ceremonies of the wars and the cares of it and the forms of it and the sobriety of it and the modesty of it to be otherwise .","I tell you , you would find the rituals of war and , I promise you , its ceremonies and its solicitudes and its forms and its gravity and its discipline all to be quite counter to all this noise ."
"Why , the enemy is loud .",But the enemy is loud .
You hear him all night .,You can hear them all night long .
"If the enemy is an ass and a fool and a prating coxcomb , is it meet , think you , that we should also , look you , be an ass and a fool and a prating coxcomb , in your own conscience , now ?","And if the enemy is an ass and a fool and a prating idiot , does that mean , you think , that we should also be an ass and a fool and a prating idiot ?"
I will speak lower .,Think about it .
I pray you and beseech you that you will .,I will lower my voice .
"Though it appear a little out of fashion , There is much care and valor in this Welshman .","Though he seems a little old-fashioned , there is much care and courage in this Welshman ."
"Brother John Bates , is not that the morning which breaks yonder ?","Brother John Bates , isn't that dawn breaking over there ?"
"We see yonder the beginning of the day , but I think we shall never see the end of it. , Who goes there ?","That's the beginning of the day we see , but I don't think we'll see the end of it. , Who goes there ?"
A friend .,A friend .
Under what captain serve you ?,What captain do you serve ?
Under Sir Thomas Erpingham .,Sir Thomas Erpingham .
A good old commander and a most kind gentleman .,A veteran commander and a very kind gentleman .
"I pray you , what thinks he of our estate ?","Tell me , what does he think of our situation ?"
"Even as men wracked upon a sand , that look to be washed off the next tide .","We're men beached on the sand , hoping to be washed out by the next tide ."
He hath not told his thought to the king ?,"He hasn't told this to the king , has he ?"
The violet smells to him as it doth to me .,The violet smells to him the same as it does to me .
"His ceremonies laid by , in his nakedness he appears but a man , and though his affections are higher mounted than ours , yet when they stoop , they stoop with the like wing .","And though his feelings may be pitched higher than ours , when they plummet , they plummet that much farther ."
"Therefore , when he sees reason of fears as we do , his fears , out of doubt , be of the same relish as ours are .","Therefore , when he has reason to fear , as we do , his fears are without question of the same order ."
"Yet , in reason , no man should possess him with any appearance of fear , lest he , by showing it , should dishearten his army .","Still , it stands to reason that he mustn't betray his fear , as it might dishearten his army ."
"He may show what outward courage he will , but I believe , as cold a night as 'tis , he could wish himself in Thames up to the neck ; and so I would he were , and I by him , at all adventures , so we were quit here .","He can act as brave as he wants , but I believe on a cold night like this he wishes he were neck-deep in the Thames , and I wish he were , too , and I with him , whatever the danger , so long as we were far away from here ."
"By my troth , I will speak my conscience of the king .",I'll tell you truly what I think about the king in my heart .
I think he would not wish himself anywhere but where he is .,I don't think he wants to be anywhere but where he is .
"I dare say you love him not so ill to wish him here alone , howsoever you speak this to feel other men's minds .","Oh , I'm sure you don't dislike him so much as to wish he were here alone , even though you say this to find out how the rest of us feel ."
"Methinks I could not die anywhere so contented as in the king's company , his cause being just and his quarrel honorable .","I don't think there's anywhere I'd rather die than in the king's company , as his cause is just and honorable ."
That's more than we know .,That's more than we know .
"If his cause be wrong , our obedience to the king wipes the crime of it out of us .","If his cause is wrong , our obedience to the king clears us of responsibility for it ."
"But if the cause be not good , the king himself hath a heavy reckoning to make , when all those legs and arms and heads , chopped off in a battle , shall join together at the latter day , and cry all , ""We died at such a place , "" some swearing , some crying for a surgeon , some upon their wives left poor behind them , some upon the debts they owe , some upon their children rawly left .","But if the cause is not just , the king himself will have a lot to answer for , when all those legs and arms and heads chopped off in battle shall join together on Judgment Day crying , ""We died at such and such a place."" Some will be swearing , some crying for a surgeon , some for the wives that are destitute without them , some about the debts they owed , some for their children left unprovided for ."
"I am afeard there are few die well that die in a battle , for how can they charitably dispose of anything , when blood is their argument ?",I think few die well who die in battle .
"The king is not bound to answer the particular endings of his soldiers , the father of his son , nor the master of his servant , for they purpose not their death , when they purpose their services .",The father and the master and the king didn't order their subordinates ' deaths when they ordered their services .
"Besides , there is no king , be his cause never so spotless , if it come to the arbitrament of swords , can try it out with all unspotted soldiers .","Besides , there's no king , however pure his cause , who , if it comes to a trial by combat , can rely on using completely blameless soldiers ."
"Now , if these men have defeated the law and outrun native punishment , though they can outstrip men , they have no wings to fly from God .","Even if these men have escaped the law and punishment at home , they can not escape God ."
"Where they feared the death , they have borne life away ; and where they would be safe , they perish .","When they feared death , they escaped with their lives ; and now where they imagine they're safe , they perish ."
"Then , if they die unprovided , no more is the king guilty of their damnation than he was before guilty of those impieties for the which they are now visited .","So , if they die unprepared , the king is no more guilty of their damnation than he was guilty of the earlier crimes they're finally being punished for ."
"Every subject's duty is the king's , but every subject's soul is his own .","Every subject's duty is the king's , but every subject's soul is his own ."
Therefore should every soldier in the wars do as every sick man in his bed : wash every mote out of his conscience .,"Therefore , every soldier should do as any man who is sick in his bed would do : clear his conscience of any stain ."
"And , dying so , death is to him advantage ; or not dying , the time was blessedly lost wherein such preparation was gained .","Then if he dies , his death serves him ."
"Tis certain , every man that dies ill , the ill upon his own head .","It's clear , every man must take responsibility for the manner of his own death ."
The king is not to answer it .,The king is not responsible for it .
"I do not desire he should answer for me , and yet I determine to fight lustily for him .","I don't expect him to answer for me , and yet I'm determined to fight vigorously for him ."
I myself heard the king say he would not be ransomed .,I myself heard the king say he would not be ransomed .
"If I live to see it , I will never trust his word after .","If I live to see it , I'll never trust his word again ."
You pay him then .,"Yeah , right , go get him ."
"That's a perilous shot out of an elder gun , that a poor and private displeasure can do against a monarch .","That's a lame threat from a toy gun , a poor individual's private displeasure with a monarch ."
You may as well go about to turn the sun to ice with fanning in his face with a peacock's feather .,You may as well try to turn the sun to ice by fanning its face with a peacock feather .
"You'll ""never trust his word after."" Come , 'tis a foolish saying .","You'll ""never trust his word again."" Come on , that was a stupid thing to say ."
Your reproof is something too round .,Your scolding is somewhat overblown .
I should be angry with you if the time were convenient .,I'd be angry with you if the occasion allowed .
"Let it be a quarrel between us , if you live .","Let it be a quarrel between us , if you live ."
I embrace it .,I'm game .
How shall I know thee again ?,How will I recognize you in the future ?
"Give me any gage of thine , and I will wear it in my bonnet .","Give me some trinket of yours , and I will wear it in my hat ."
"Then , if ever thou dar'st acknowledge it , I will make it my quarrel .","Then , if you dare to acknowledge it , I'll take up my quarrel with you ."
There .,Here .
This will I also wear in my cap .,I'll also wear this in my cap .
"If ever thou come to me and say , after tomorrow , ""This is my glove , "" by this hand I will take thee a box on the ear .","If you come to me after tomorrow and say , ""That's my glove , "" I swear by this hand , I will take it and give you a box on the ear ."
"If ever I live to see it , I will challenge it .","If I ever see it , I will challenge you ."
Thou dar'st as well be hanged .,You may as well undertake to be hanged .
"Well , I will do it , though I take thee in the king's company .",I'll do it even if I find you in the company of the king himself .
Keep thy word .,Keep your word .
Fare thee well .,Farewell .
"Indeed , the French may lay twenty French crowns to one they will beat us , for they bear them on their shoulders .","Indeed , the French can bet twenty French crowns to one that they'll beat us , they have such an army ."
"But it is no English treason to cut French crowns , and tomorrow the king himself will be a clipper .","But it's no treason for an Englishman to cut off a French crown , a head , I mean , and tomorrow the king himself will do some snipping ."
Of what your reverence shall incite us to .,to wage war .
"Therefore take heed how you impawn our person , How you awake our sleeping sword of war .","I charge you , in the name of God , be careful what you say ."
"Under this conjuration , speak , my lord , For we will hear , note , and believe in heart That what you speak is in your conscience washed As pure as sin with baptism .","With this in mind , speak , my lord ."
"Then hear me , gracious sovereign , and you peers That owe yourselves , your lives , and services To this imperial throne .","Then hear me , gracious sovereign , and all you peers who owe your lives and duty to this imperial throne ."
Upon the king !,Upon the king !
"Let us our lives , our souls , our debts , our careful wives , our children , and our sins lay on the king !","Let's lay everything upon the king : our lives , our souls , our debts , our anxious wives , our children , and our sins."" I must bear responsibility for all of it ."
We must bear all .,What a painful condition responsibility is .
"O hard condition , Twin-born with greatness , subject to the breath Of every fool , whose sense no more can feel But his own wringing .","It goes along with being born to greatness , but it makes you get badmouthed by every fool who only has his own suffering to care about ."
What infinite heart's ease Must kings neglect that private men enjoy ?,What infinite peace do king's give up that private men enjoy ?
"And what have kings that privates have not too , Save ceremony , save general ceremony ?","What do kings have that private men do not , besides the pomp of their position ?"
"And what art thou , thou idol ceremony ?",And what is this useless ceremony of kings ?
"What kind of god art thou , that suffer'st more Of mortal griefs than do thy worshippers ?","What kind of god is ceremony , which suffers more than its worshippers do ?"
What are thy comings in ?,"What income , what profit does it bring in ?"
"O ceremony , show me but thy worth !","Oh , ceremony , only show me your value !"
What is thy soul of adoration ?,Why are you adored ?
"Art thou aught else but place , degree , and form , Creating awe and fear in other men , Wherein thou art less happy , being feared , Than they in fearing ?","You're less happy , being feared , than they are in fearing you ."
"What drink'st thou oft , instead of homage sweet , But poisoned flattery ?","What do you get to drink , instead of sweet obedience , but poisonous flattery ?"
"Oh , be sick , great greatness , And bid thy ceremony give thee cure !","Try being sick , great greatness , and see if ceremony can cure you !"
Think'st thou the fiery fever will go out With titles blown from adulation ?,Do you think fiery fever can be put out by the windy puff of titles ?
Will it give place to flexure and low bending ?,Will it be chased away by bowing and scraping ?
"Canst thou , when thou command'st the beggar's knee , Command the health of it ?","You can command a beggar to bow on bended knee , but can you take possession of his health ?"
"No , thou proud dream , That play'st so subtly with a king's repose .","No , vain illusion , so intricately bound up with a king's rest ."
"And , but for ceremony , such a wretch , Winding up days with toil and nights with sleep , Had the forehand and vantage of a king .",dusk and all night long sleeps in peace .
"My lord , your nobles , jealous of your absence , Seek through your camp to find you .","My lord , your noble subjects are looking for you all over the camp ."
"Good old knight , Collect them all together at my tent .","Good old knight , gather them all together at my tent ."
I'll be before thee .,I'll meet you there .
"I shall do't , my lord .","Consider it done , my lord ."
"O God of battles , steel my soldiers ' hearts .","Oh God of battles , bolster my soldiers ' courage ."
Possess them not with fear .,Don't let them know fear .
Take from them now The sense of reck'ning ere th ' opposed numbers Pluck their hearts from them .,Rob them of the ability to count before the numbers against them overwhelm their courage .
"Not today , O Lord , Oh , not today , think not upon the fault My father made in compassing the crown .","And just for today , Oh , Lord , just today don't think of the crime my father committed in seizing the crown !"
"I Richard's body have interred anew , And on it have bestowed more contrite tears Than from it issued forced drops of blood .",I've transferred Richard's body to a new grave and on it poured more tears of remorse than it has shed drops of blood .
"Five hundred poor I have in yearly pay , Who twice a day their withered hands hold up Toward heaven to pardon blood .","I've hired five hundred almsmen to hold up their withered hands to heaven , praying for my pardon twice a day throughout the year ."
And I have built Two chantries where the sad and solemn priests Sing still for Richard's soul .,And I've built two chapels where solemn priests sing continually for Richard's soul .
"More will I do , Though all that I can do is nothing worth , Since that my penitence comes after all , Imploring pardon .","I will do more , though nothing I can do is any good since this remorse comes after the crime , asking for pardon ."
My liege .,My liege .
"My brother Gloucester's voice. , Ay , I know thy errand .",My brother Gloucester's voice ?
I will go with thee .,I'll go with you .
"The day , my friends , and all things stay for me .","The day , my friends , and everything await me ."
The sun doth gild our armor .,The sun glints off our armor .
"Up , my lords .","Awake , my lords !"
"Now , my Lord Constable ?","Is it time , my Lord Constable ?"
Hark how our steeds for present service neigh .,"Listen to our horses neighing , longing to be working ."
Ha !,Ha !
"What , will you have them weep our horses ' blood ?","What , you want them to weep our horses ' blood ?"
How shall we then behold their natural tears ?,Then how will we see their own natural tears ?
"The English are embattled , you French peers .","The English are in the field , French lords ."
"To horse , you gallant princes , straight to horse .","To our horses , you gallant princes ."
What's to say ?,What's there to say ?
"Then let the trumpets sound The tucket sonance and the note to mount , For our approach shall so much dare the field That England shall couch down in fear and yield .",Our advance will so dazzle the enemy that England will cower in fear and surrender .
"Why do you stay so long , my lords of France ?","What are you waiting for , lords of France ?"
"Yond island carrions , desperate of their bones , Ill-favoredly become the morning field .","Those island-bred skeletons , terrified for their bones , are an offensive sight on the morning field ."
Big Mars seems bankrupt in their beggared host And faintly through a rusty beaver peeps .,"The horsemen stand frozen like candlesticks , torches in their hands ."
"They have said their prayers , and they stay for death .","Meanwhile , their They've said their prayers , and now they wait for death ."
"Shall we go send them dinners and fresh suits , And give their fasting horses provender , And after fight with them ?",Shall we go send them food and fresh clothing and feed their starving horses before we fight them ?
"On , to the field !",To the field !
I will the banner from a trumpet take And use it for my haste .,I'll take the banner from a trumpeter and use that .
"Come , come away .","Come , let's be off !"
"The sun is high , and we outwear the day .",The sun is up and we're wasting the day !
Where is the king ?,Where is the king ?
The king himself is rode to view their battle .,The king rode out alone to view their troops .
Of fighting men they have full threescore thousand .,They have fully sixty thousand fighting men .
There's five to one .,That's five to one .
"Besides , they all are fresh .","Besides , they're fresh ."
God's arm strike with us !,May God's arm strike on our side !
Tis a fearful odds .,These are frightening odds .
"God be wi ' you , princes all .","God be with all of you , princes ."
I'll to my charge .,I'll go and join my men .
"Farewell , good Salisbury , and good luck go with thee .","Farewell , good Salisbury ; and may good luck go with you ."
"Farewell , kind lord .","Farewell , kind lord ."
Fight valiantly today .,Fight valiantly today .
"And yet I do thee wrong to mind thee of it , For thou art framed of the firm truth of valor .","But then I do you wrong to say as much , since you are the very embodiment of bravery ."
"He is as full of valor as of kindness , Princely in both .","He is as full of courage as of kindness , princely in both ."
"Oh , that we now had here But one ten thousand of those men in England That do no work today .","Oh , if only we had with us here ten thousand of those men back home in England who aren't working today ."
What's he that wishes so ?,Who wishes that ?
My cousin Westmoreland ?,My cousin Westmoreland ?
"No , my fair cousin .","No , my dear cousin ."
"If we are marked to die , we are enough To do our country loss ; and if to live , The fewer men , the greater share of honor .","If we are slated to die , the fewer , the better for our country , and if we're slated to live , the fewer men , the greater the share of honor for each of us ."
"God's will , I pray thee wish not one man more .","In God's name , I beg you not to wish for one more man ."
"By Jove , I am not covetous for gold Nor care I who doth feed upon my cost ; It yearns me not if men my garments wear ; Such outward things dwell not in my desires .","By God , I am not selfish when it comes to money : I don't care who eats at my expense ."
"But if it be a sin to covet honor , I am the most offending soul alive .","But if it is a sin to be selfish about honor , I am the most guilty soul alive ."
"No , faith , my coz , wish not a man from England .","No , my cousin , don't wish that even one man who is now in England were here instead ."
"God's peace , I would not lose so great an honor As one man more , methinks , would share from me , For the best hope I have .","By God , I wouldn't lose as much honor as a single man more would cost me , I think , not even if it meant giving up my best hope for victory ."
"Oh , do not wish one more !","Oh , do not wish one more !"
"His passport shall be made , And crowns for convoy put into his purse .",He will be given safe conduct and money for his passage home .
We would not die in that man's company That fears his fellowship to die with us .,We would not want to die in the company of a man who fears to die with us .
"He that shall see this day , and live old age , Will yearly on the vigil feast his neighbors And say , ""Tomorrow is Saint Crispian."" Then will he strip his sleeve and show his scars , And say , ""These wounds I had on Crispin's day.""","He who survives this day and lives to see old age shall yearly entertain his neighbors on the eve , saying , ""Tomorrow is"
All things are ready if our minds be so .,We're ready if our minds are ready .
Perish the man whose mind is backward now !,Let any man perish who isn't ready now !
"Thou dost not wish more help from England , coz ?","You don't wish we had more help from England anymore , cousin ?"
God be with you all .,God be with you all .
"Tucket Once more I come to know of thee , King Harry , If for thy ransom thou wilt now compound , Before thy most assured overthrow .","Once more I come to ask you , King Harry , if you're ready to negotiate your ransom before your certain defeat ."
For certainly thou art so near the gulf Thou needs must be englutted .,"For assuredly , you are so near the abyss that you're bound to be swallowed up ."
"Besides , in mercy , The constable desires thee thou wilt mind Thy followers of repentance , that their souls May make a peaceful and a sweet retire From off these fields where , wretches , their poor bodies Must lie and fester .","Moreover , out of mercy , the Constable urges you to remind your men to make their peace with God and repent , so that their souls may depart sweetly and peacefully from these fields where , poor wretches , their bodies will likely fall and fester ."
Who hath sent thee now ?,Who sent you this time ?
The constable of France .,The Constable of France .
"I pray thee , bear my former answer back .",Be good enough to take back the same answer I gave before .
Bid them achieve me and then sell my bones .,"Tell them to capture me , then sell my bones ."
The man that once did sell the lion's skin While the beast lived was killed with hunting him .,The man that once sold the skin of a lion while the beast still lived died hunting him .
"A many of our bodies shall no doubt Find native graves , upon the which , I trust , Shall witness live in brass of this day's work .","And on their graves , I trust , the story of this day's work will be written in brass ."
"And those that leave their valiant bones in France , Dying like men though buried in your dunghills , They shall be famed ; for there the sun shall greet them And draw their honors reeking up to heaven , Leaving their earthly parts to choke your clime ,","And those who leave their valiant bones in France , dying like men though buried in your dunghills , they'll be remembered , too ."
"Besides , their writers say , King Pepin , which deposed Childeric , Did , as heir general , being descended Of Blithild , which was daughter to King Clothair , Make claim and title to the crown of France .","Besides , according to the French historians , King Pepin , who deposed Childeric , based his own claim to the crown of France on his descent from Blithild , the daughter of King Clothair ."
"Hugh Capet also , who usurped the crown Of Charles the duke of Lorraine , sole heir male Of the true line and stock of Charles the Great , To find his title with some shows of truth , Though in pure truth it was corrupt and naught , Conveyed himself as th ' heir to th ' Lady Lingare , Daughter to Charlemagne , who was the son To Lewis the Emperor , and Lewis the son Of Charles the Great .","Another case : Hugh Capet , who usurped the crown from Charles the duke of Lorraine , sole male heir in a direct line from Charles the Great , passed himself off as heir to Lady Lingare , daughter of Charlemagne , who was the son of Lewis the Emperor ( who was the son of Charles the Great ) , in order to give his claim to the throne more validity ( though , in fact , the claim was completely false and worthless ) ."
"Also King Lewis the Tenth , Who was sole heir to the usurper Capet , Could not keep quiet in his conscience , Wearing the crown of France , till satisfied That fair Queen Isabel , his grandmother , Was lineal of the Lady Ermengare , Daughter to Charles the foresaid duke of Lorraine , By the which marriage the line of Charles the Great Was reunited to the crown of France .","Another case : King Lewis the Tenth , who was sole heir to the usurper Capet , could not rest easy as king until he was assured that Queen Isabel , his grandmother , was a direct descendent of the Lady Ermengare , daughter of the aforementioned Charles duke of Lorraine , by which marriage the line of Charles the Great was reunited with the throne of France ."
"So that , as clear as is the summer's sun , King Pepin's title and Hugh Capet's claim , King Lewis his satisfaction , all appear To hold in right and title of the female .","Thus , it should be clear as day that King Pepin's title , Hugh Capet's claim , and the resolution of King Lewis's doubts all plainly derive from the female ."
Let me speak proudly : tell the constable We are but warriors for the working day ; Our gayness and our gilt are all besmirched With rainy marching in the painful field .,Let me speak proudly : tell the Constable we're only workaday soldiers .
"There's not a piece of feather in our host , Good argument , I hope , we will not fly , And time hath worn us into slovenry .","There's not a strand of feather left in our whole army , a good sign , I hope , that we won't fly away like birds , and time on the field has made us slovenly ."
"If they do this , As , if God please , they shall , my ransom then Will soon be levied .","If they do this , as they will , God willing , my ransom will soon be raised ."
"Herald , save thou thy labor .","Herald , spare yourself ."
"Come thou no more for ransom , gentle herald .","Don't come again to ask for my ransom , good messenger ."
"They shall have none , I swear , but these my joints , Which , if they have , as I will leave 'em them , Shall yield them little .",I swear the only ransom will be these bones of mine .
Tell the constable .,Tell the constable that .
"I shall , King Harry .","I shall , King Harry ."
And so fare thee well .,And so farewell .
Thou never shalt hear herald anymore .,You'll never hear from the herald again .
I fear thou wilt once more come again for a ransom .,I'm afraid you'll come to me again for ransom .
"My lord , most humbly on my knee I beg The leading of the vaward .","My lord , most humbly on bended knee I beg you to grant me the leading of the vanguard ."
"Take it , brave York .","Take it , brave York ."
"Now , soldiers , march away , And how Thou pleasest , God , dispose the day .","Now , soldiers , advance ."
"Yield , cur .","Surrender , dog !"
He says his name is Master Fer .,Is that a lot of He says his name is Master Fer .
Master Fer .,Master Fer !
What are his words ?,What does he say ?
He prays you to save his life .,He begs you to spare his life .
"He is a gentleman of a good house , and for his ransom he will give you two hundred crowns .","He is a gentleman of a good family , and for his ransom , he will give you two hundred crowns ."
"Tell him my fury shall abate , and I the crowns will take .","Tell him my fury will abate , and I'll take the crowns ."
"Expound unto me , boy .","Explain , boy ."
"He gives you upon his knees a thousand thanks , and he esteems himself happy that he hath fall'n into the hands of one , as he thinks , the most brave , valorous , and thrice- worthy seigneur of England .","He thanks you on his knees many times and considers himself fortunate to have fallen into the hands of one , as he thinks , who is the bravest , most valorous , and thrice-worthy gentleman of England ."
"As I suck blood , I will some mercy show .","As I get to leech him , I will show some mercy ."
Follow me .,Follow me .
I did never know so full a voice issue from so empty a heart .,I never heard so loud a voice issue from such an empty heart .
I must stay with the lackeys with the luggage of our camp .,"I have to stay with the servants , who are with our camp's luggage ."
"The French might have a good prey of us if he knew of it , for there is none to guard it but boys .","We're sitting ducks for the French , if they only knew it , for there is no one guarding it but boys ."
Reproach and everlasting shame Sits mocking in our plumes .,"Regret and everlasting shame sit on our helmets , mocking us ."
Do not run away .,Do not run away .
"Why , all our ranks are broke .",Our men have all broken ranks .
O perdurable shame !,"O , everlasting shame !"
Let's stab ourselves .,Let's fall on our swords .
Be these the wretches that we played at dice for ?,Are these the wretches that we threw dice for ?
Is this the king we sent to for his ransom ?,Is this the king we offered to ransom ?
"Shame , and eternal shame , nothing but shame !","Shame , eternal shame , and nothing but shame !"
Let us die .,Let us die honorably .
"And he that will not follow Bourbon now , Let him go hence , and with his cap in hand Like a base pander hold the chamber door , Whilst by a slave , no gentler than my dog , His fairest daughter is contaminate .","He who will not follow me now , let him depart and stand in the doorway like a pimp , cap in hand , while some slave , no nobler than my dog , violates his daughter ."
"Disorder , that hath spoiled us , friend us now .",Maybe we can benefit from the same chaos that has defeated us .
Let us on heaps go offer up our lives .,Let's go offer up our lives
"We are enough yet living in the field To smother up the English in our throngs , If any order might be thought upon .",There are enough of us still alive in the field to overcome the English with our numbers if we could just restore some kind of order .
The devil take order now !,The hell with order !
I'll to the throng .,I'm going back into battle .
"Let life be short , else shame will be too long .",Let life be short so that shame won't last too long .
Yet keep the French the field .,The French are still fighting .
The duke of York commends him to your Majesty .,The duke of York sends your Majesty his respects .
"Lives he , good uncle ?","Is he still alive , good uncle ?"
"Thrice within this hour I saw him down , thrice up again and fighting .","Three times in an hour I saw him down , and three times up again and fighting ."
"From helmet to the spur , all blood he was .",He was covered with blood from his helmet to his spurs .
"In which array , brave soldier , doth he lie , Larding the plain , and by his bloody side , Yoke-fellow to his honor-owing wounds , The noble earl of Suffolk also lies .","By his side lies the noble earl of Suffolk , York's comrade and equal in brave wounds ."
"Suffolk first died , and York , all haggled over , Comes to him where in gore he lay insteeped And takes him by the beard , kisses the gashes That bloodily did yawn upon his face .","Suffolk died first , and York , cut to pieces , came to him where he lay in his blood and took him by the face , kissing his gashes ."
"And cries aloud , ""Tarry , my cousin Suffolk .","He cried out , ""Wait for me , dear cousin ."
My soul shall thine keep company to heaven .,My soul will keep yours company on the way to heaven .
"Tarry , sweet soul , for mine ; then fly abreast , As in this glorious and well-foughten field We kept together in our chivalry."" Upon these words I came and cheered him up .","Wait for mine , sweet soul ."
The French have reinforced their scattered men .,The French have reinforced their scattered men .
Then every soldier kill his prisoners .,Then every soldier must kill his prisoners .
Give the word through .,Spread the word .
"So do the kings of France unto this day , Howbeit they would hold up this Salic law To bar your Highness claiming from the female And rather choose to hide them in a net Than amply to imbar their crooked titles Usurped from you and your progenitors .","To this day , the kings of France follow this unspoken rule , even though they point to this Salic law to bar your Highness from inheriting it through the female line ."
May I with right and conscience make this claim ?,Can I justifiably and in good conscience make this claim ?
"The sin upon my head , dread sovereign , For in the Book of Numbers is it writ : ""When the man dies , let the inheritance Descend unto the daughter."" Gracious lord , Stand for your own , unwind your bloody flag , Look back into your mighty ancestors .","For it is written in the book of Numbers : ""When the man dies , let the inheritance descend unto the daughter."" Gracious lord , claim what is yours ."
"Go , my dread lord , to your great-grandsire's tomb , From whom you claim .","Go to the tomb of your great-grandfather , from whom your own title to the crown derives ."
"Invoke his warlike spirit And your great-uncle's , Edward the Black Prince , Who on the French ground played a tragedy , Making defeat on the full power of France Whiles his most mighty father on a hill Stood smiling to behold his lion's whelp Forage in blood of French nobility .","Invoke his warlike spirit and that of Edward the Black Prince , your great-uncle , who fought a tragic battle on French soil , routing the French army in full force while his mighty father stood by on a hilltop , smiling to see his son steeped in the blood of French noblemen ."
"O noble English , that could entertain With half their forces the full pride of France And let another half stand laughing by , All out of work and cold for action !","O noble English , who could take on the entire French army with only half their forces , leaving the other half to stand by , idle and laughing ."
Awake remembrance of these valiant dead And with your puissant arm renew their feats .,Awaken the memory of those valiant ancestors and with your own powerful arm make their deeds live again .
"You are their heir , you sit upon their throne , The blood and courage that renowned them Runs in your veins ; and my thrice-puissant liege Is in the very May-morn of his youth , Ripe for exploits and mighty enterprises .","You are their heir and sit on their throne , and the blood and courage that glorified them run in your veins ."
Kill the poys and the luggage !,To kill the boys with the luggage !
Tis expressly against the law of arms .,It's expressly against the rules of combat .
"Tis as arrant a piece of knavery , mark you now , as can be offert , in your conscience now , is it not ?",It's as complete a work of villainy as any that could be thought up .
"Tis certain there's not a boy left alive , and the cowardly rascals that ran from the battle ha ' done this slaughter .","There's certainly not a boy left alive , and it was done by the cowardly rascals who were running from the battle ."
"Besides , they have burned and carried away all that was in the king's tent , wherefore the king , most worthily , hath caused every soldier to cut his prisoner's throat .","On top of this , they've either burned or carried away everything that was in the king's tent ."
"Oh , 'tis a gallant king !","Oh , he's a gallant king !"
"Ay , he was porn at Monmouth , Captain Gower .","Yes , he was born at Monmouth , Captain Gower ."
"Why , I pray you , is not ""pig"" great ?","And is ""pig"" not the same as ""great , "" may I ask ?"
"The pig , or the great , or the mighty , or the huge , or the magnanimous are all one reckonings , save the phrase is a little variations .","The pig or the mighty or the huge or the magnanimous , they all mean the same thing , with some variation ."
I think Alexander the Great was born in Macedon .,I think Alexander the Great was born in Macedon .
"His father was called Philip of Macedon , as I take it .","His father was Philip of Macedon , as I remember ."
I think it is in Macedon where Alexander is porn .,I think that Macedon is indeed where Alexander was born .
"I tell you , Captain , if you look in the maps of the 'orld , I warrant you shall find , in the comparisons between Macedon and Monmouth , that the situations , look you , is both alike .","I tell you , Captain , if you look at a map of the world , I'll bet you will find , comparing Macedon and Monmouth , that the situations , see , are very similar ."
"There is a river in Macedon , and there is also , moreover , a river at Monmouth .","There is a river in Macedon , and there is likewise a river in Monmouth ."
"It is called Wye at Monmouth , but it is out of my prains what is the name of the other river .","The river in Monmouth is called Wye , but the name of the other river has gone out of my head ."
"But 'tis all one ; 'tis alike as my fingers is to my fingers , and there is salmons in both .","Nevertheless , it's all one , the two rivers are as alike as my fingers are to my fingers , and there are salmon in both ."
"If you mark Alexander's life well , Harry of Monmouth's life is come after it indifferent well , for there is figures in all things .","If you look closely at Alexander's life , Harry of Monmouth's stands up fairly well by comparison , for there are analogies in everything ."
"Alexander , God knows and you know , in his rages and his furies and his wraths and his cholers and his moods and his displeasures and his indignations , and also being a little intoxicates in his prains , did , in his ales and his angers , look you , kill his best friend , Cleitus .","Alexander , God knows and you know , in his rages and his furies and his wraths and his angers and his moods and his displeasures and his indignations , and also being a little the worse for drink , killed his best friend Cleitus in a drunken rage , see ."
